Name,Serving Size,Calories,Fat,Carbohydrates,Protein,,Calories (per 1g),Fat (per 1g),Carbohydrates (per 1g),Protein (per 1g)
Egg McMuffin,136,300,13,31,17,,"2,21","0,10","0,23","0,13"
Egg White Delight,135,250,"8,00",30,18,,"1,85","0,06","0,22","0,13"
Sausage McMuffin,111,370,"23,00",29,14,,"3,33","0,21","0,26","0,13"
Sausage McMuffin with Egg,161,450,"28,00",30,21,,"2,80","0,17","0,19","0,13"
Sausage McMuffin with Egg Whites,161,400,"23,00",30,21,,"2,48","0,14","0,19","0,13"
Steak & Egg McMuffin,185,430,"23,00",31,26,,"2,32","0,12","0,17","0,14"
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150,460,"26,00",38,19,,"3,07","0,17","0,25","0,13"
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164,520,"30,00",43,19,,"3,17","0,18","0,26","0,12"
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153,410,"20,00",36,20,,"2,68","0,13","0,24","0,13"
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167,470,"25,00",42,20,,"2,81","0,15","0,25","0,12"
Sausage Biscuit (Regular Biscuit),117,430,"27,00",34,11,,"3,68","0,23","0,29","0,09"
Sausage Biscuit (Large Biscuit),131,480,"31,00",39,11,,"3,66","0,24","0,30","0,08"
Sausage Biscuit with Egg (Regular Biscuit),163,510,"33,00",36,18,,"3,13","0,20","0,22","0,11"
Sausage Biscuit with Egg (Large Biscuit),177,570,"37,00",42,18,,"3,22","0,21","0,24","0,10"
Sausage Biscuit with Egg Whites (Regular Biscuit),167,460,"27,00",34,18,,"2,75","0,16","0,20","0,11"
Sausage Biscuit with Egg Whites (Large Biscuit),181,520,"32,00",40,18,,"2,87","0,18","0,22","0,10"
Southern Style Chicken Biscuit (Regular Biscuit),143,410,"20,00",41,17,,"2,87","0,14","0,29","0,12"
Southern Style Chicken Biscuit (Large Biscuit),157,470,"24,00",46,17,,"2,99","0,15","0,29","0,11"
Steak & Egg Biscuit (Regular Biscuit),201,540,"32,00",38,25,,"2,69","0,16","0,19","0,12"
"Bacon, Egg & Cheese McGriddles",174,460,"21,00",48,19,,"2,64","0,12","0,28","0,11"
"Bacon, Egg & Cheese McGriddles with Egg Whites",178,400,"15,00",47,20,,"2,25","0,08","0,26","0,11"
Sausage McGriddles,141,420,"22,00",44,11,,"2,98","0,16","0,31","0,08"
"Sausage, Egg & Cheese McGriddles",201,550,"31,00",48,20,,"2,74","0,15","0,24","0,10"
"Sausage, Egg & Cheese McGriddles with Egg Whites",205,500,"26,00",46,21,,"2,44","0,13","0,22","0,10"
"Bacon, Egg & Cheese Bagel",197,620,"31,00",57,30,,"3,15","0,16","0,29","0,15"
"Bacon, Egg & Cheese Bagel with Egg Whites",201,570,"25,00",55,30,,"2,84","0,12","0,27","0,15"
"Steak, Egg & Cheese Bagel",241,670,"35,00",56,33,,"2,78","0,15","0,23","0,14"
Big Breakfast (Regular Biscuit),269,740,"48,00",51,28,,"2,75","0,18","0,19","0,10"
Big Breakfast (Large Biscuit),283,800,"52,00",56,28,,"2,83","0,18","0,20","0,10"
Big Breakfast with Egg Whites (Regular Biscuit),272,640,"37,00",50,26,,"2,35","0,14","0,18","0,10"
Big Breakfast with Egg Whites (Large Biscuit),286,690,"41,00",55,26,,"2,41","0,14","0,19","0,09"
Big Breakfast with Hotcakes (Regular Biscuit),420,1090,"56,00",111,36,,"2,60","0,13","0,26","0,09"
Big Breakfast with Hotcakes (Large Biscuit),434,1150,"60,00",116,36,,"2,65","0,14","0,27","0,08"
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423,990,"46,00",110,35,,"2,34","0,11","0,26","0,08"
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437,1050,"50,00",115,35,,"2,40","0,11","0,26","0,08"
Hotcakes,151,350,"9,00",60,8,,"2,32","0,06","0,40","0,05"
Hotcakes and Sausage,192,520,"24,00",61,15,,"2,71","0,13","0,32","0,08"
Sausage Burrito,111,300,"16,00",26,12,,"2,70","0,14","0,23","0,11"
Hash Brown,56,150,"9,00",15,1,,"2,68","0,16","0,27","0,02"
Cinnamon Melts,114,460,"19,00",66,6,,"4,04","0,17","0,58","0,05"
Fruit & Maple Oatmeal,251,290,"4,00",58,5,,"1,16","0,02","0,23","0,02"
Fruit & Maple Oatmeal without Brown Sugar,251,260,"4,00",49,5,,"1,04","0,02","0,20","0,02"
Big Mac,211,530,"27,00",47,24,,"2,51","0,13","0,22","0,11"
Quarter Pounder with Cheese,202,520,"26,00",41,30,,"2,57","0,13","0,20","0,15"
Quarter Pounder with Bacon & Cheese,227,600,"29,00",48,37,,"2,64","0,13","0,21","0,16"
Quarter Pounder with Bacon Habanero Ranch,235,610,"31,00",46,37,,"2,60","0,13","0,20","0,16"
Quarter Pounder Deluxe,244,540,"27,00",45,29,,"2,21","0,11","0,18","0,12"
Double Quarter Pounder with Cheese,283,750,"43,00",42,48,,"2,65","0,15","0,15","0,17"
Hamburger,98,240,"8,00",32,12,,"2,45","0,08","0,33","0,12"
Cheeseburger,113,290,"11,00",33,15,,"2,57","0,10","0,29","0,13"
Double Cheeseburger,161,430,"21,00",35,24,,"2,67","0,13","0,22","0,15"
Bacon Clubhouse Burger,270,720,"40,00",51,39,,"2,67","0,15","0,19","0,14"
McDouble,147,380,"17,00",34,22,,"2,59","0,12","0,23","0,15"
Bacon McDouble,161,440,"22,00",35,27,,"2,73","0,14","0,22","0,17"
Daily Double,190,430,"22,00",34,22,,"2,26","0,12","0,18","0,12"
JalapeĂ±o Double,159,430,"23,00",35,22,,"2,70","0,14","0,22","0,14"
McRib,208,500,"26,00",44,22,,"2,40","0,13","0,21","0,11"
Premium Crispy Chicken Classic Sandwich,213,510,"22,00",55,24,,"2,39","0,10","0,26","0,11"
Premium Grilled Chicken Classic Sandwich,200,350,"9,00",42,28,,"1,75","0,05","0,21","0,14"
Premium Crispy Chicken Club Sandwich,249,670,"33,00",58,36,,"2,69","0,13","0,23","0,14"
Premium Grilled Chicken Club Sandwich,235,510,"20,00",44,40,,"2,17","0,09","0,19","0,17"
Premium Crispy Chicken Ranch BLT Sandwich,230,610,"28,00",57,32,,"2,65","0,12","0,25","0,14"
Premium Grilled Chicken Ranch BLT Sandwich,217,450,"15,00",43,36,,"2,07","0,07","0,20","0,17"
Bacon Clubhouse Crispy Chicken Sandwich,284,750,"38,00",65,36,,"2,64","0,13","0,23","0,13"
Bacon Clubhouse Grilled Chicken Sandwich,270,590,"25,00",51,40,,"2,19","0,09","0,19","0,15"
Southern Style Crispy Chicken Sandwich,160,430,"19,00",43,21,,"2,69","0,12","0,27","0,13"
McChicken,143,360,"16,00",40,14,,"2,52","0,11","0,28","0,10"
Bacon Cheddar McChicken,171,480,"24,00",43,22,,"2,81","0,14","0,25","0,13"
Bacon Buffalo Ranch McChicken,161,430,"21,00",41,20,,"2,67","0,13","0,25","0,12"
Buffalo Ranch McChicken,148,360,"16,00",40,14,,"2,43","0,11","0,27","0,09"
Premium McWrap Chicken & Bacon (Crispy Chicken),316,630,"32,00",56,32,,"1,99","0,10","0,18","0,10"
Premium McWrap Chicken & Bacon (Grilled Chicken),302,480,"19,00",42,36,,"1,59","0,06","0,14","0,12"
Premium McWrap Chicken & Ranch (Crispy Chicken),310,610,"31,00",56,27,,"1,97","0,10","0,18","0,09"
Premium McWrap Chicken & Ranch (Grilled Chicken),297,450,"18,00",42,30,,"1,52","0,06","0,14","0,10"
Premium McWrap Southwest Chicken (Crispy Chicken),314,670,"33,00",68,27,,"2,13","0,11","0,22","0,09"
Premium McWrap Southwest Chicken (Grilled Chicken),318,520,"20,00",55,31,,"1,64","0,06","0,17","0,10"
Premium McWrap Chicken Sweet Chili (Crispy Chicken),304,540,"23,00",61,23,,"1,78","0,08","0,20","0,08"
Premium McWrap Chicken Sweet Chili (Grilled Chicken),291,380,"10,00",47,27,,"1,31","0,03","0,16","0,09"
Chicken McNuggets (4 piece),65,190,"12,00",12,9,,"2,92","0,18","0,18","0,14"
Chicken McNuggets (6 piece),97,280,"18,00",18,13,,"2,89","0,19","0,19","0,13"
Chicken McNuggets (10 piece),162,470,"30,00",30,22,,"2,90","0,19","0,19","0,14"
Chicken McNuggets (20 piece),323,940,"59,00",59,44,,"2,91","0,18","0,18","0,14"
Chicken McNuggets (40 piece),646,1880,"118,00",118,87,,"2,91","0,18","0,18","0,13"
Filet-O-Fish,142,390,"19,00",39,15,,"2,75","0,13","0,27","0,11"
Premium Bacon Ranch Salad (without Chicken),223,140,"7,00",10,9,,"0,63","0,03","0,04","0,04"
Premium Bacon Ranch Salad with Crispy Chicken,255,380,"21,00",22,25,,"1,49","0,08","0,09","0,10"
Premium Bacon Ranch Salad with Grilled Chicken,241,220,"8,00",8,29,,"0,91","0,03","0,03","0,12"
Premium Southwest Salad (without Chicken),230,140,"4,50",20,6,,"0,61","0,02","0,09","0,03"
Premium Southwest Salad with Crispy Chicken,348,450,"22,00",42,23,,"1,29","0,06","0,12","0,07"
Premium Southwest Salad with Grilled Chicken,335,290,"8,00",28,27,,"0,87","0,02","0,08","0,08"
Chipotle BBQ Snack Wrap (Crispy Chicken),130,340,"15,00",37,14,,"2,62","0,12","0,28","0,11"
Chipotle BBQ Snack Wrap (Grilled Chicken),123,260,"8,00",30,16,,"2,11","0,07","0,24","0,13"
Honey Mustard Snack Wrap (Crispy Chicken),123,330,"15,00",34,14,,"2,68","0,12","0,28","0,11"
Honey Mustard Snack Wrap (Grilled Chicken),116,250,"8,00",27,16,,"2,16","0,07","0,23","0,14"
Ranch Snack Wrap (Crispy Chicken),128,360,"20,00",32,15,,"2,81","0,16","0,25","0,12"
Ranch Snack Wrap (Grilled Chicken),121,280,"13,00",25,16,,"2,31","0,11","0,21","0,13"
Small French Fries,75,230,"11,00",30,2,,"3,07","0,15","0,40","0,03"
Medium French Fries,111,340,"16,00",44,4,,"3,06","0,14","0,40","0,04"
Large French Fries,168,510,"24,00",67,6,,"3,04","0,14","0,40","0,04"
Kids French Fries,38,110,"5,00",15,1,,"2,89","0,13","0,39","0,03"
Side Salad,87,20,"0,00",4,1,,"0,23","0,00","0,05","0,01"
Apple Slices,34,15,"0,00",4,0,,"0,44","0,00","0,12","0,00"
Fruit 'n Yogurt Parfait,149,150,"2,00",30,4,,"1,01","0,01","0,20","0,03"
Baked Apple Pie,77,250,"13,00",32,2,,"3,25","0,17","0,42","0,03"
Chocolate Chip Cookie,33,160,"8,00",21,2,,"4,85","0,24","0,64","0,06"
Oatmeal Raisin Cookie,33,150,"6,00",22,2,,"4,55","0,18","0,67","0,06"
Kids Ice Cream Cone,29,45,"1,50",7,1,,"1,55","0,05","0,24","0,03"
Hot Fudge Sundae,179,330,"9,00",53,8,,"1,84","0,05","0,30","0,04"
Hot Caramel Sundae,182,340,"8,00",60,7,,"1,87","0,04","0,33","0,04"
Strawberry Sundae,178,280,"6,00",49,6,,"1,57","0,03","0,28","0,03"
McFlurry with M&Mâ€™s Candies (Small),310,650,"23,00",96,13,,"2,10","0,07","0,31","0,04"
McFlurry with M&Mâ€™s Candies (Medium),460,930,"33,00",139,20,,"2,02","0,07","0,30","0,04"
McFlurry with M&Mâ€™s Candies (Snack),207,430,"15,00",64,9,,"2,08","0,07","0,31","0,04"
McFlurry with Oreo Cookies (Small),285,510,"17,00",80,12,,"1,79","0,06","0,28","0,04"
McFlurry with Oreo Cookies (Medium),381,690,"23,00",106,15,,"1,81","0,06","0,28","0,04"
McFlurry with Oreo Cookies (Snack),190,340,"11,00",53,8,,"1,79","0,06","0,28","0,04"
McFlurry with Reese's Peanut Butter Cups (Medium),403,810,"32,00",114,21,,"2,01","0,08","0,28","0,05"
McFlurry with Reese's Peanut Butter Cups (Snack),202,410,"16,00",57,10,,"2,03","0,08","0,28","0,05"
